Afghanistan,Mill墨 Sur奴d,National Anthem,Abdul Bari Jahani,Babrak Wassa,
Albania,Betimi mbi Flamur,The Pledge on the Flag,Aleksand毛r Stavre Drenova,Ciprian Porumbescu,Albania
Algeria,Kassaman,We Pledge,Moufdi Zakaria,Mohameed Fawzi,
Andorra,El Gran Carlemany,The Great Charlemagne,Enric Marfany Bons,Juan Benllloch y Viv贸,
Angola,Angola Avante,Forward Angola,Manuel Rui Alves Monteiro,Rui Alberto Vieira Dias Mingas,
Antigua and Barbuda,"Fair Antigua, We Salute Thee",,Novelle Hamilton Richards,Walter Garnet Picart Chambers,
Argentina,Himno Nacional Argentino,Argentine National Anthem,Vicente L贸pez y Planes,Blas Parera,
Armenia,Mer Hayrenik,Our Fatherland,Mikael Nalbandian,Barsegh Kanachyann,Rostov-on-Don
Armenia,Mer Hayrenik,Our Fatherland,Mikael Nalbandian,Barsegh Kaanachyan,Rostov-on-Don
Australia,Advance Australia Fair,,Peter Dodds McCormick,Peter Dodds McCormick,
Austria,Bundeshymne der Republik 脰sterreich,National Anthem of the Republic of Austria,Paula von Preradovi膰,Wolfgang Amadeus Mozartt,
Austria,Bundeshymne der Republik 脰sterreich,National Anthem of the Republic of Austria,Paula von Preradovi膰,Johann Holzerr,
Azerbaijan,Az蓹rbaycan mar艧谋,Azerbaijan's Anthem,Ahmed Javad,Uzeyir Hajibeyovv,Shamkir_Rayon
Bahamas,"March On, Bahamaland",,Timothy Gibson,Timothy Gibsonn,
Bahrain,Bahrainona,Our Bahrain,Mohamed Sudqi Ayyash,,
Bangladesh,Amar Shonar Bangla,My Golden Bengal,Rabindranath Tagore,Samar Das,Bengal_Presidency
Barbados,National Anthem of Barbados,,Irving Burgie,C. Van Rolandd Edwards,
Belarus,My Belarusy,"We, the Belarusians",Michael Klimovich,Nestar Sakalowskii,
Belgium,The Braban莽onne,,Jenneval,Fran莽ois Van Campenhout,
Belize,Land of the Free,,Samuel Alfred Haynes,Selwyn Walford Youngg,
Benin,L'Aube Nouvelle,The Dawn of a New Day,Gilbert Jean Dagnon,Gilbert Jean Dagnon,
Bhutan,Druk tsendhen,The Thunder Dragon Kingdom,Dasho Gyaldun Thinley,Aku Tongmi,
Bolivia,Himno Nacional de Bolivia,National Anthem of Bolivia,Jos茅 Ignacio de Sanjin茅s,Leopoldo Benedetto Vincentii,
Bosnia and Herzegovina,Dr啪avna himna Bosne i Hercegovine,The National Anthem of Bosnia and Herzegovina,,DDu拧an 艩esti膰,
Botswana,Fatshe leno la rona,Blessed Be This Noble Land,Kgalemang Tumedisco Motsete,Kgalemang Tumedisco Motsete,
Brazil,Hino Nacional Brasileiro,Brazilian National Anthem,Joaquim Os贸rio Duque Estrada,Francisco Manuel da Silvaa,
Brunei,Allah Peliharakan Sultan,God Bless the Sultan,Pengiran Haji Mohamed Yusuf bin Abdul Rahim,Besar bin Sagap,
Bulgaria,Mila Rodino,Dear Motherland,Tsvetan Radoslavov,Tsvetan Raadoslavov,
Burkina Faso,Une Seule Nuit,One Single Night,Thomas Sankara,Thomas Sankaraa,
Burundi,Burundi Bwacu,Our Burundi,Jean-Baptiste Ntahokaja,Marc Barengayabo,
Cambodia,Nokor Reach,Royal Kingdom,Samdach Chuon Nat,F. Perruchot,
Cambodia,Nokor Reach,Royal Kingdom,Samdach Chuon Nat,J. Jekyll,
Cameroon,"O Cameroun, Berceau de nos Anc锚tres","O Cameroon, Cradle of Our Forefathers",Ren茅 Djam Afame,Ren茅 Djam Afame,
Cameroon,"O Cameroun, Berceau de nos Anc锚tres","O Cameroon, Cradle of Our Forefathers",Samuel Minkio Bamba,RRen茅 Djam Afame,
Cameroon,"O Cameroun, Berceau de nos Anc锚tres","O Cameroon, Cradle of Our Forefathers",Mo茂se Nyatte Nko'o,Ren茅 Djam Afamee,
Cameroon,"O Cameroun, Berceau de nos Anc锚tres","O Cameroon, Cradle of Our Forefathers",Dr Bernard Fonlon,Ren茅 Djam Afame,
Canada,脭 Canada,O Canada,Adolphe-Basile Routhier,Calixa Lavall茅e,
Canada,脭 Canada,O Canada,Robert Stanley Weir,Calixa Lavall茅e,
Cape Verde,C芒ntico da Liberdade,Song of Freedom,Am铆lcar Spencer Lopes,Adalberto Higino Tavares Silvaa,
Central African Republic,La Renaissance,The Rebirth,Barth茅l茅my Boganda,Herbert Pepperr,
Chad,La Tchadienne,People of Chad,Louis Gidrol,Paul Villardd,
Chile,Himno Nacional de Chile,National Anthem of Chile,Eusebio Lillo,Ram贸n Carnicerr,Chile
China,Y矛y菕ngj奴n J矛nx铆ngq菙,March of the Volunteers,Tian Han,Nie Err,"Guoyuan,_Changsha_County"
China,Y矛y菕ngj奴n J矛nx铆ngq菙,March of the Volunteers,Tian Han,Nie Er,"Guoyuan,_Changsha_County"
China,Y矛y菕ngj奴n J矛nx铆ngq菙,March of the Volunteers,Tian Han,Nie Er,"Guoyuan,_Changsha_County"
Colombia,Himno Nacional de la Rep煤blica de Colombia,National Anthem of the Republic of Colombia,Rafael N煤帽ez,Oreste Sindici,
Comoros,Udzima wa ya Masiwa,The Union of the Great Islands,Said Hachim Sidi Abderemane,Said Hachim Sidi Abderemanee,
Comoros,Udzima wa ya Masiwa,The Union of the Great Islands,Said Hachim Sidi Abderemane,Kamildine Abbdallah,
Democratic Republic of the Congo,Debout Congolais,Arise Congolese,Joseph Lutumba,Simon-Pierre Boka di Mpasi Londi,
Democratic Republic of the Congo,Debout Congolais,Arise Congolese,Joseph Lutumba,Simon-Pierre Boka di Mpasi Londii,
Republic of the Congo,La Congolaise,The Congolese,Jacques Tondra,Jean Royerr,
Republic of the Congo,La Congolaise,The Congolese,Jacques Tondra,Jean Royer,
Republic of the Congo,La Congolaise,The Congolese,Georges Kibanghi,Jean Royerr,
Republic of the Congo,La Congolaise,The Congolese,Georges Kibanghi,Jean Royerr,
Republic of the Congo,La Congolaise,The Congolese,Jacques Tondra,Joseph Spadili猫re,
Republic of the Congo,La Congolaise,The Congolese,Jacques Tondra,Joseph Spadili猫re,
Republic of the Congo,La Congolaise,The Congolese,Georges Kibanghi,Joseph Spadili猫re,
Republic of the Congo,La Congolaise,The Congolese,Georges Kibanghi,Joseph Spadili猫ree,
Costa Rica,Himno Nacional de Costa Rica,National Anthem of Costa Rica,Jos茅 Mar铆a Zeled贸n Brenes,Manuel Mar铆a Guti茅rrrez,
Croatia,Lijepa na拧a domovino,Our Beautiful Homeland,Antun Mihanovi膰,Josip Runjaninn,
Cuba,El Himno de Bayamo,The Anthem of Bayamo,Perucho Figueredo,Perucho Figueredoo,
Cyprus,脻mnos eis t墨n Eleuther铆an,Hymn to Liberty,Dion媒sios Solom贸s,Nikolaos Manttzaros,
Czech Republic,Kde domov m暖j,Where My Home is,Josef Kajet谩n Tyl,Fraanti拧ek 艩kroup,Bohemia
Denmark,Der er et yndigt land,There is a lovely country,Adam Oehlenschl盲ger,Hans Ernnst Kr酶yer,Denmark
Djibouti,Djibouti,,Aden Elmi,Abdi Robleh,
Dominica,"Isle of Beauty, Isle of Splendour",,Wilfred Oscar Morgan Pond,Lemuel McPherson Christiian,
Dominican Republic,Himno Nacional,National Anthem,Emilio Prud'Homme,Jos茅 Rufino Reyes y Siancass,
East Timor,P谩tria,Fatherland,Francisco Borja da Costa,Afonso de Araujoo,
Ecuador,"Salve, Oh Patria","We Salute You, Our Homeland",Juan Le贸n Mera,Antoonio Neumane,"Ambato,_Ecuador"
Egypt,"Bilady, Bilady, Bilady","My Country, My Country, My Country",Mohamed Younis Al-Qady,Sayed Darwishh,
El Salvador,Himno Nacional de El Salvador,National Anthem of El Salvador,Juan Jos茅 Ca帽as,Juan Aberlee,
Equatorial Guinea,Caminemos pisando las sendas de nuestra inmensa felicidad,Let Us Tread the Path of our Immense Happiness,Atanasio Ndongo Miyone,Ramiro S谩nchez Lopess,
Eritrea,"Ertra, Ertra, Ertra","Eritrea, Eritrea, Eritrea",Solomon Tsehaye Beraki,Isaac Abraham Meharezghii,
Eritrea,"Ertra, Ertra, Ertra","Eritrea, Eritrea, Eritrea",Solomon Tsehaye Beraki,Arron Tekle Tesfatsion,
Estonia,"Mu isamaa, mu 玫nn ja r玫玫m","My Fatherland, My Happiness and Joy",Johann Voldemar Jannsen,Fredrik Pacius,
Eswatini,Nkulunkulu Mnikati wetibusiso temaSwati,O Lord our God of the Swazi,Andrease Enoke Fanyana Simelane,David Kenneth Rycroftt,
Ethiopia,"Wodefit Gesgeshi, Widd Innat Ityopp'ya","March Forward, Dear Mother Ethiopia",Dereje Melaku Mengesha,Solomon Lulu Mitiku,
Fiji,Meda Dau Doka,God Bless Fiji,Michael Francis Alexander Prescott,Charles Austin Miles,
Finland,Swedish: V氓rt Land,Finnish:Maamme,Johan Ludvig Runeberg (Swedish),Fredrik Pacius,
Finland,Swedish: V氓rt Land,Finnish:Maamme,Paavo Cajander (Finnish),Freedrik Pacius,
France,La Marseillaise,The Song of Marseille,Claude Joseph Rouget de Lisle,Claude Joseph Rouget de Lislee,
Gabon,La Concorde,Concord,Georges Aleka Damas,Georges AAleka Damas,
The Gambia,For The Gambia Our Homeland,,Virginia Julie Howe,Jeremmy Frederick Howe,
Georgia,Tavisupleba,Freedom,David Magradze,Zakaria Paliashvili,
Germany,Lied der Deutschen,Song of the Germans,August Heinrich Hoffmann von Fallersleben,Joseph Haydn,
Ghana,God Bless Our Homeland Ghana,,Michael Kwame Gbordzoe,Philip Gbehoo,
Greece,脻mnos eis t墨n Eleuther铆an,Hymn to Liberty or Hymn to Freedom,Dion媒sios Solom贸s,Nikolaos Mantzaross,
Grenada,Hail Grenada,,Irva Merle Baptiste,Louis Arnold Masantoo,
Guatemala,Himno Nacional de Guatemala,National Anthem of Guatemala,Jos茅 Joaqu铆n Palma,Rafael 脕lvarez Ovalle,Cuba
Guinea,Libert茅,Liberty,,Kodofo Moussa,
Guinea-Bissau,Esta 脡 a Nossa P谩tria Bem Amada,This Is Our Beloved Country,Am铆lcar Cabral,Xiao Hee,
Guyana,"Dear Land of Guyana, of Rivers and Plains",,Archibald Leonard Luker,Robertt Cyril Gladstone Potter,
Haiti,La Dessalinienne,Song of Dessalines,Justin Lh茅risson,Nicolas Geffrarrd,
Honduras,Himno Nacional de Honduras,National Anthem of Honduras,Augusto Constancio Coello,Carlos Hartling,
Hungary,Himnusz,Hymn,Ferenc K枚lcsey,Ferenc Erkel,
Iceland,Lofs枚ngur,Hymn,Matth铆as Jochumsson,Sveinbj枚rn Sveinbj枚rnssonn,
India,Jana Gana Mana,Hail the ruler of all minds,Rabindranath Tagore,Rabindranath Tagoree,Bengal_Presidency
Indonesia,Indonesia Raya,Great Indonesia,Wage Rudolf Soepratman,Wage Rudolf Soepratman,
Iran,Soroud-e Melli-e Jomhouri-e Eslami-e Iran,National Anthem of Iran,,Hassan Riyahi,
Iraq,Mawtini (My Homeland),,Ibrahim Touqan,Mohammed Flayfell,Nablus
Ireland,Amhr谩n na bhFiann,The Soldier's Song,Peadar Kearney,Peadar Kearney,
Ireland,Amhr谩n na bhFiann,The Soldier's Song,Liam 脫 Rinn,Peadar Kearneyy,
Ireland,Amhr谩n na bhFiann,The Soldier's Song,Peadar Kearney,Patrick Heeney,
Ireland,Amhr谩n na bhFiann,The Soldier's Song,Liam 脫 Rinn,Patrick Heeney,
Israel,HaTikvah,The Hope,Naftali Herz Imber,Samuel Cohenn,
Italy,Il Canto degli Italiani,The Song of the Italians,Goffredo Mameli,Michele Novaroo,
Ivory Coast,L'Abidjanaise,Song of Abidjan,Mathieu Ekra,Pierre Marie Cotyy,
Ivory Coast,L'Abidjanaise,Song of Abidjan,Joachim Bony,Pierre Marie Cotyy,
Ivory Coast,L'Abidjanaise,Song of Abidjan,Pierre Marie Coty,Pierre Marie Cotyy,
Ivory Coast,L'Abidjanaise,Song of Abidjan,Mathieu Ekra,Pierre Michel Pangoo,
Ivory Coast,L'Abidjanaise,Song of Abidjan,Joachim Bony,Pierre Michel Paango,
Ivory Coast,L'Abidjanaise,Song of Abidjan,Pierre Marie Coty,Pierre Michel Pango,
Jamaica,"Jamaica, Land We Love",,Hugh Sherlock,RRobert Lightbourne,
Japan,Kimigayo,His Majesty's Reign,Kokin Wakash奴,Yoshiisa Oku,
Japan,Kimigayo,His Majesty's Reign,Kokin Wakash奴,Akimori Hayashii,
Jordan,Al-salam Al-malaki Al-urdoni,The Royal Anthem of Jordan,Abdul Monem Al-Refai,Abdul Qader al-Taneer,
Kazakhstan,Meni帽 Qazaqstan谋m,My Kazakhstan,Zhumeken Nazhimedenov,Shamshi Kaldayakovv,
Kenya,Ee Mungu Nguvu Yetu,Oh God of All Creation,Graham Hyslop,The Anthem Commissionn,
Kenya,Ee Mungu Nguvu Yetu,Oh God of All Creation,G. W. Senoga-Zake,TThe Anthem Commission,
Kenya,Ee Mungu Nguvu Yetu,Oh God of All Creation,Thomas Kalume,The Anthem Commission,
Kenya,Ee Mungu Nguvu Yetu,Oh God of All Creation,Peter Kibukosya,The Anthem Commissionn,
Kenya,Ee Mungu Nguvu Yetu,Oh God of All Creation,Washington Omondi,The Anthem Commissionn,
Kiribati,Teirake Kaini Kiribati,"Stand up, Kiribati",Urium Tamuera Ioteba,Urium Tamuera Iooteba,
North Korea,Aegukka,The Patriotic Song,Pak Sey艔ng,Kim W艔n'gyunn,
South Korea,Aegukga,The Patriotic Song,An Chang-ho,Ahn Eak-tae,
Kuwait,Al-Nasheed Al-Watani,National Anthem,Ahmad Meshari Al-Adwani,Ibrahim Al-Soulaa,
Kyrgyzstan,Kyrgyz Respublikasynyn Mamlekettik Gimni,National Anthem of the Kyrgyz Republic,Djamil Sadykov,Nasyr Davlesovv,
Kyrgyzstan,Kyrgyz Respublikasynyn Mamlekettik Gimni,National Anthem of the Kyrgyz Republic,Eshmambet Kuluev,Nasyr Davlesov,
Kyrgyzstan,Kyrgyz Respublikasynyn Mamlekettik Gimni,National Anthem of the Kyrgyz Republic,Djamil Sadykov,Kalyi Moldobasanovv,
Kyrgyzstan,Kyrgyz Respublikasynyn Mamlekettik Gimni,National Anthem of the Kyrgyz Republic,Eshmambet Kuluev,Kalyi Moldobasanovv,
Laos,Pheng Xat Lao,National Anthem of Laos,Sisana Sisane,Thongdy Sounthonevichitt,
Latvia,"Dievs, sv膿t墨 Latviju!",God Bless Latvia,K膩rlis Baumanis,K膩rlis Baaumanis,
Lebanon,Lebanese National Anthem,,Rashid Nakhle,Wadiih Sabra,
Lesotho,Lesotho Fat拧e La Bontata Rona,"Lesotho, Land of Our Fathers",Fran莽ois Coillard,Ferdinand-Samuel Laur,
Liberia,"All Hail, Liberia, Hail!",,Daniel Bashiel Warner,Olmstead Luca,
Libya,"Libya, Libya, Libya",,Al Bashir Al Arebi,Mohammed Abdel Wahab,
Liechtenstein,Oben am jungen Rhein,Up on the young Rhine,Jakob Josef Jauch,,
Lithuania,Tauti拧ka giesm臈,National Song,Vincas Kudirka,Vincas Kudirka,
Luxembourg,Ons Heemecht,Our Homeland,Michel Lentz,Jean Antoine Zinnenn,
Madagascar,Ry Tanindrazanay malala 么!,"Oh, Beloved Land of our Ancestors",Pastor Rahajason,Norbert Raharisoa,
Malawi,Mulungu dalitsa Mala诺i,God Bless Malawi,Michael-Fredrick Paul Sauka,Michael-Fredrick Paul Saukka,
Malaysia,Negaraku,My Country,,Piierre-Jean de B茅ranger,
Maldives,Gaumii salaam,National Salute,Muhammad Jameel Didi,Pandit Wannakuwattawaduge Don Amaradevaa,
Mali,Le Mali,Mali,Seydou Badian Kouyate,Banzumana Sissokoo,
Malta,L-Innu Malti,The Maltese Hymn,Dun Karm Psaila,Robert Samuut,
Marshall Islands,Forever Marshall Islands,,Amata Kabua,Amata Kabuaa,
Mauritania,Nashid Wataniin Muritaniin,National Anthem of Mauritania,,Ragehh Daoud,
Mauritius,Motherland,,Jean Georges Prosper,Philippe Gentil,
Mexico,Himno Nacional Mexicano,Mexican National Anthem,Francisco Gonz谩lez Bocanegra,Jaime Nun贸贸,
Micronesia,Patriots of Micronesia,,,,
Moldova,Limba noastr膬,Our Language,Alexei Mateevici,Alexandru Cristeaa,
Monaco,Hymne Mon茅gasque,Mon茅gasque Anthem,Louis Notari,Charles Albrechtt,
Mongolia,Mongol ulsiin t枚riin duulal,National Anthem of Mongolia,Tsendiin Damdins眉ren,Bilegiin Damdins眉renn,"Matad,_Dornod"
Mongolia,Mongol ulsiin t枚riin duulal,National Anthem of Mongolia,Tsendiin Damdins眉ren,Luvsannjambyn M枚rdorj,"Matad,_Dornod"
Montenegro,"Oj, svijetla majska zoro","O, Bright Dawn of May",,沤arko Mirkovi膰膰,
Morocco,Hymne Ch茅rifien,Cherifian Anthem,Ali Squalli Houssaini,LL茅o Morgan,
Mozambique,P谩tria Amada,Beloved Homeland,Salom茫o J. Manhi莽a,Justino Sigaulane Chemanee,
Mozambique,P谩tria Amada,Beloved Homeland,Mia Couto,Justino Sigaulane Chemanee,"Beira,_Mozambique"
Myanmar,Kaba Ma Kyei,Till the End of the World,Tsaya Ting,Tsaya Ting,
Namibia,"Namibia, Land of the Brave",,Axali Do毛seb,Axali Do毛sebb,
Nauru,Nauru Bwiema,Song of Nauru,Margaret Hendrie,Laurennce Henry Hicks,
Nepal,Sayaun Thunga Phool Ka,A Garland of Hundred Flowers,Byakul Maila,Amber Gurungg,
Netherlands,Wilhelmus,William,Philips of Marnix,Adrianus Valeerius,
Netherlands,Wilhelmus,William,Dirck Coornhert,Adrianus Valerius,
Netherlands,Wilhelmus,William,Petrus Dathenus,Adrianus Valeriuss,
New Zealand,God Defend New Zealand,,Thomas Bracken,John Joseph Woodss,Clones
New Zealand,God Defend New Zealand,,Thomas Bracken,John Joseph Woods,Clones
New Zealand,God Defend New Zealand,,Thomas H. Smith,John Joseph Woods,
New Zealand,God Defend New Zealand,,Thomas H. Smith,John Joseph Woods,
Nicaragua,"Salve a ti, Nicaragua","Hail to Thee, Nicaragua",Salom贸n Ibarra Mayorga,Luis  A. Delgadillo,
Niger,La Nig茅rienne,The Nigerien,Maurice Albert Thiriet,Robert Jacquet,
Niger,La Nig茅rienne,The Nigerien,Maurice Albert Thiriet,Nicolas Abel Fran莽ois Friionnet,
Nigeria,"Arise, O Compatriots",,John A. Ilechukwu,Nigerian Police Bandd,
Nigeria,"Arise, O Compatriots",,Eme Etim Akpan,Nigerian Police Bandd,
Nigeria,"Arise, O Compatriots",,B. A. Ogunnaike,Nigerian Police Bandd,
Nigeria,"Arise, O Compatriots",,Sotu Omoigui,Nigerian Police  Band,
Nigeria,"Arise, O Compatriots",,P. O. Aderibighe,Nigeriian Police Band,
North Macedonia,Denes nad Makedonija,Today Over Macedonia,Vlado Maleski,Todor Skalovski,Struga
Norway,"Ja, vi elsker dette landet","Yes, We Love This Country",Bj酶rnstjerne Bj酶rnson,Rikard Nordraakk,Kvikne
Oman,Nashid as-Salaam as-Sultani,,Rashid bin Uzayyiz Al Khusaidi,James Frederick Millss,
Pakistan,Qaum墨 Tar膩na,National Anthem,Hafeez Jullundhri,Ahmed Ghullamali Chagla,
Palau,Belau rekid,Our Palau,,Ymesei O. Ezekiell,
Panama,Himno Istme帽o,Hymn of the Isthmus,Jeronimo de la Ossa,Santos Jorgee,
Papua New Guinea,"O Arise, All You Sons",,Tom Shacklady,Tom Shackladyy,
Paraguay,Himno Nacional Paraguayo,Paraguayan National Anthem,Francisco Acu帽a de Figueroa,Francisco Jos茅 Debalii,
Peru,Himno Nacional del Per煤,National Anthem of Peru,Jos茅 de la Torre Ugarte y Alarc贸n,Jose Bernardo Alcedoo,
Philippines,Lupang Hinirang,Chosen Land,Jos茅 Palma,Juli谩n Felipee,
Poland,Mazurek D膮browskiego,Poland Is Not Yet Lost,J贸zef Wybicki,,
Portugal,A Portuguesa,The Portuguese,Henrique Lopes de Mendon莽a,Alfredo Keill,
Qatar,As Salam al Amiri,Peace to the Amir,Sheikh Mubarak bin Sa茂f al-Thani,Abdul Aziz Nasser Obaidan,
Romania,"De葯teapt膬-te, rom芒ne!","Awaken Thee, Romanian",Andrei Mure艧anu,Anton Pann,
Romania,"De葯teapt膬-te, rom芒ne!","Awaken Thee, Romanian",Andrei Mure艧anu,Gheorghe Ucenescu,
Russia,Gosudarstvenny Gimn Rossiyskoy Federatsii,State Hymn of the Russian Federation,Sergey Mikhalkov,Alexander Vasilyeviich Alexandrov,
Rwanda,Rwanda Nziza,Beautiful Rwanda,Faustin Murigo,Jean-Bosco Hasshakimana,
Saint Kitts and Nevis,O Land of Beauty!,,Kenrick Georges,Kenrick Georgess,
Saint Lucia,Sons and Daughters of Saint Lucia,,Charles Jesse,Leton Felix Thomas,
Saint Vincent and the Grenadines,"Saint Vincent, Land so beautiful",,Phyllis Punnett,Joel Bertram Migguel,
Samoa,The Banner of Freedom,,Sauni Iiga Kuresa,Sauni Iiga Kuresa,
San Marino,Inno Nazionale della Repubblica,The National Anthem of the Republic,,Federico Consolo,
S茫o Tom茅 and Pr铆ncipe,Independ锚ncia total,Total Independence,Alda Neves da Gra莽a do Esp铆rito Santo,Manuel dos Santos Barreto de Sousa e Almeidaa,
Saudi Arabia,As-Salam Al Malaki,The Royal Salute,Ibrahim Khafaji,Abdul Rahman Al-Khateeb,
Senegal,"Pincez Tous vos Koras, Frappez les Balafons","Strum your Koras, Strike the Balafons",L茅opold S茅dar Senghor,Herbert Pepperr,
Serbia,Bo啪e pravde,God of Justice,Jovan 膼or膽evi膰,Davoriin Jenko,
Seychelles,Koste Seselwa,Join together all Seychellois,David Fran莽ois Marc Andr茅,David Fran莽ois Marc Andr茅,
Seychelles,Koste Seselwa,Join together all Seychellois,George Charles Robert Payet,David Fran莽ois Marc Andr茅茅,
Seychelles,Koste Seselwa,Join together all Seychellois,David Fran莽ois Marc Andr茅,George Charles RRobert Payet,
Seychelles,Koste Seselwa,Join together all Seychellois,George Charles Robert Payet,George Charles Robert Payet,
Sierra Leone,"High We Exalt Thee, Realm of the Free",,Clifford Nelson Fyle,John Akarr,
Singapore,Majulah Singapura,Onward Singapore,Zubir Said,Zubir Saaid,
Slovakia,Nad Tatrou sa bl媒ska,Lightning Over the Tatras,Janko Mat煤拧ka,,
Slovenia,Zdravljica,A Toast,France Pre拧eren,Stanko Premrll,Habsburg_Monarchy
Solomon Islands,God Save Our Solomon Islands,,Panapasa Balekana,Panapasa Balekanaa,
Solomon Islands,God Save Our Solomon Islands,,Matila Balekana,Panapasa Balekana,
Somalia,Qolobaa Calankeed,Praise to the Flag,Abdullahi Qarshe,Abdullahi Qarshee,
South Africa,National anthem of South Africa,,Enoch Sontonga,Enoch Sontongaa,
South Africa,National anthem of South Africa,,C. J. Langenhoven,Enoch Sontonga,
South Africa,National anthem of South Africa,,Enoch Sontonga,Marthinus LLourens de Villiers,
South Africa,National anthem of South Africa,,C. J. Langenhoven,Marthinus Lourens de VVilliers,
South Sudan,South Sudan Oyee!,,"Students and teachers of Juba University, 2011","Students and teachers of Juba University, 20111",
Spain,La Marcha Real,The Royal March,,,
Spain,La Marcha Real,The Royal March,,,
Sri Lanka,Sri Lanka Matha,Mother Sri Lanka,Ananda Samarakoon,Ananda Samarakoonn,
Sudan,Nahnu Jund Allah Jund Al-watan,We Are the Army of God and of Our Land,Sayyed Ahmed Mohammed Salih,Ahmad  Murjan,
Suriname,God zij met ons Suriname,God Be With Our Suriname,Cornelis Atses Hoekstra,Johannes Corstianus de Puyy,
Suriname,God zij met ons Suriname,God Be With Our Suriname,Henry de Ziel,Johaannes Corstianus de Puy,
Sweden,"Du gamla, Du fria","Thou Ancient, Thou Free",Richard Dybeck,,
Switzerland,Schweizerpsalm,Swiss Psalm,Leonhard Widmer,Alberich Zwyssig,
Switzerland,Schweizerpsalm,Swiss Psalm,Charles Chatelanat,Alberich Zwyssigg,
Switzerland,Schweizerpsalm,Swiss Psalm,Camillo Valsangiacomo,Alberich Zwyssigg,
Switzerland,Schweizerpsalm,Swiss Psalm,Flurin Camathias,Alberich Zwyssigg,
Syria,Hum膩t ad-Diy膩r,Guardians of the Homeland,Khalil Mardam Bey,Mohammed Flayfell,
Syria,Hum膩t ad-Diy膩r,Guardians of the Homeland,Khalil Mardam Bey,Ahmad Salim Flayfell,
Tajikistan,Surudi Milli,National Anthem,Gulnazar Keldi,Suleiman Yudakov,
Tanzania,Mungu ibariki Afrika,God Bless Africa,,Ennoch Sontonga,
Thailand,Phleng Chat,National Song,Luang Saranupraphan,Peter Feitt,
Togo,"Salut 脿 toi, pays de nos a茂eux","Hail to Thee, Land of our Forefathers",Alex Casimir-Dosseh,Alex Casimir-Dosseh,
Tonga,Ko e fasi 驶o e tu驶i 驶o e 驶Otu Tonga,Song of the King of the Tonga Islands,Uelingatoni Ng奴 Tupoumalohi,Carl Gustav Schmittt,
Trinidad and Tobago,Forged from the Love of Liberty,,Patrick Castagne,Patrick Castagnee,
Tunisia,Humat al-Hima,Defenders of the Homeland,Mustafa Sadiq Al-Rafi'i,Mohammed Abdel Wahabb,
Tunisia,Humat al-Hima,Defenders of the Homeland,Aboul-Qacem Echebbi,Mohammed Abdel Wahabb,
Turkey,陌stikl芒l Mar艧谋,The March of Independence,Mehmet Akif Ersoy,Osman Zeki 脺ng枚rr,Ottoman_Empire
Turkmenistan,"Gara艧syz, Bitarap T眉rkmenistany艌 D枚wlet Gimni",The State Anthem of Independent and Neutral Turkmenistan,,Veli Mukhatov,
Tuvalu,Tuvalu mo te Atua,Tuvalu for the Almighty,Afaese Manoa,Afaese Manoa,
Uganda,"Oh Uganda, Land of Beauty",,George Wilberforce Kakoma,George Wilberforce Kakoma,
Ukraine,Shche ne vmerla Ukraina,Ukraine's Glory Has Not Perished,Pavlo Chubynsky,Mykhaylo Verbytskyy,
United Arab Emirates,Ishy Biladi,Long Live my Homeland,Arif Al Sheikh Abdullah Al Hassan,Saad Abdel Wahab,
United Kingdom,God Save the Queen,,Henry Carey,,
United States,The Star-Spangled Banner,,Francis Scott Key,John Stafford Smith,
Uruguay,Himno Nacional,National Anthem,Francisco Acu帽a de Figueroa,Francisco Jos茅 Debali,
Uzbekistan,O`zbekiston Respublikasining Davlat Madhiyasi,National Anthem of the Republic of Uzbekistan,Abdulla Aripov,Mutal Burrhanov,Qashqadaryo_Province
Vanuatu,"Yumi, Yumi, Yumi","We, We, We",Fran莽ois Vincent Ayssav,Fran莽ois Vincent Ayssav,
Vatican City,Marche Pontificale,Pontifical Anthem and March,Antonio Allegra,Charles Gounod,
Venezuela,Gloria al Bravo Pueblo,Glory to the Brave People,Vicente Salias,Juan Jos茅 Landaetaa,
Vietnam,Ti岷縩 Qu芒n Ca,Marching Song,V膬n Cao,VV膬n Cao,
Yemen,National anthem of Yemen,,Abdallah Abdulwahab Noman,Ayooob Tarish,
Zambia,"Stand and Sing of Zambia, Proud and Free",,,Enoch Sontongaa,
Zimbabwe,Simudzai Mureza WeZimbabwe,O Lift High The Banner Of Zimbabwe,Solomon Mutswairo,Fred Changundegaa,
