Nigeria,Oyoo,Bara,Abuja
Swedenn,Skane,Bara,Stockholm
Sweden,Soedermanlandd,Bara,Stockholm
Romaniaa,Timis,Bara,Bucharest
Nigeriia,Yobee,Bara,Abuja
Romaniaa,Neamt,B芒ra,Bucharest
Venezuella,AAnzoategui,Barcelona,Caracas
Philippiness,Bicol,Barcelona,Manila
Philipppines,Caraga,Barcelona,Manila
Spain,Catalonia,Barcelona,Madrid
Philippiines,Zamboanga Peninsulaa,Barcelona,Manila
United Kingdomm,Englland,Cambridge,London
United States,Illinoiss,Cambridge,"Washington,_D.C."
United Statess,Maryland,Cambridge,"Washington,_D.C."
United States,Massachusetts,Cambridge,"Washington,_D.C."
United Statess,Minnesotaa,Cambridge,"Washington,_D.C."
United Statess,Nebraskaa,Cambridge,"Washington,_D.C."
United States,New Yorkk,Cambridge,"Washington,_D.C."
United Statess,Ohioo,Cambridge,"Washington,_D.C."
Canadaa,Ontarioo,Cambridge,Ottawa
Jamaicaa,St Jamess,Cambridge,"Kingston,_Jamaica"
Australiaa,Tasmania,Cambridge,Canberra
New Zealand,Waikatoo,Cambridge,Wellington
United Statess,Wisconsinn,Cambridge,"Washington,_D.C."
United Statess,Alabamaa,Camden,"Washington,_D.C."
United States,Arkannsas,Camden,"Washington,_D.C."
United Sttates,Delawaree,Camden,"Washington,_D.C."
United Stattes,MMaine,Camden,"Washington,_D.C."
United States,Neew Jersey,Camden,"Washington,_D.C."
United States,New York,Camden,"Washington,_D.C."
United States,North Carolina,Camden,"Washington,_D.C."
United Statess,Ohio,Camden,"Washington,_D.C."
United States,South Carolinaa,Camden,"Washington,_D.C."
United States,Tennessee,Camden,"Washington,_D.C."
Italyy,Lombardyy,Como,Rome
United Statess,Missiissippi,Como,"Washington,_D.C."
Australiaa,Neww South Wales,Como,Canberra
Australiaa,Western Australiaa,Como,Canberra
United States,Wisconsin,Como,"Washington,_D.C."
United States,Californiaa,Dublin,"Washington,_D.C."
United Statess,Georgiaa,Dublin,"Washington,_D.C."
Irelandd,Leinster,Dublin,Reykjav铆k
United Statess,New Hampshiree,Dublin,"Washington,_D.C."
United Statess,Ohioo,Dublin,"Washington,_D.C."
United Statees,Pennsylvaniaa,Dublin,"Washington,_D.C."
United States,Texass,Dublin,"Washington,_D.C."
United Statess,Virginiaa,Dublin,"Washington,_D.C."
United States,Alabaama,Hamilton,"Washington,_D.C."
United States,Georgia,Hamilton,"Washington,_D.C."
United States,Illinois,Hamilton,"Washington,_D.C."
United Statess,Indianaa,Hamilton,"Washington,_D.C."
United States,Massachusetts,Hamilton,"Washington,_D.C."
United States,Missourii,Hamilton,"Washington,_D.C."
United States,Montanaa,Hamilton,"Washington,_D.C."
Australiaa,New South Wales,Hamilton,Canberra
United Statess,New York,Hamilton,"Washington,_D.C."
United States,Ohioo,Hamilton,"Washington,_D.C."
Canadaa,Ontario,Hamilton,Ottawa
United Kingdomm,Scotland,Hamilton,London
United Statess,TTexas,Hamilton,"Washington,_D.C."
Australia,Victoriaa,Hamilton,Canberra
New Zealandd,Waikatoo,Hamilton,Wellington
United Statess,Illinois,Kingston,"Washington,_D.C."
Unnited States,Massachusettss,Kingston,"Washington,_D.C."
United States,Misssouri,Kingston,"Washington,_D.C."
Unnited States,New Hampshire,Kingston,"Washington,_D.C."
United States,New Jerseyy,Kingston,"Washington,_D.C."
Uniteed States,New York,Kingston,"Washington,_D.C."
Unnited States,Ohioo,Kingston,"Washington,_D.C."
United States,Oklahomaa,Kingston,"Washington,_D.C."
Canada,OOntario,Kingston,Ottawa
New Zealandd,OOtago,Kingston,Wellington
United Statess,Pennsylvania,Kingston,"Washington,_D.C."
United Sttates,Rhode Island,Kingston,"Washington,_D.C."
AAustralia,South Australia,Kingston,Canberra
Australia,Tasmaniaa,Kingston,Canberra
United Sttates,Tennesssee,Kingston,"Washington,_D.C."
United SStates,Washington,Kingston,"Washington,_D.C."
United States,Illinoiss,Lebanon,"Washington,_D.C."
United Statess,Indianaa,Lebanon,"Washington,_D.C."
United Statess,Kenttucky,Lebanon,"Washington,_D.C."
United States,Mainee,Lebanon,"Washington,_D.C."
United States,Missouri,Lebanon,"Washington,_D.C."
Unitted States,New Hampshire,Lebanon,"Washington,_D.C."
United Sttates,New Jerseyy,Lebanon,"Washington,_D.C."
United Statess,Ohioo,Lebanon,"Washington,_D.C."
United Statess,Oregon,Lebanon,"Washington,_D.C."
United States,Pennsylvaniaa,Lebanon,"Washington,_D.C."
United Statess,Tennesssee,Lebanon,"Washington,_D.C."
United States,Virginia,Lebanon,"Washington,_D.C."
United Statess,Connecticut,Lisbon,"Washington,_D.C."
United Statess,IIowa,Lisbon,"Washington,_D.C."
Porttugal,Lisbonn,Lisbon,
United Statess,MMaine,Lisbon,"Washington,_D.C."
United Statess,North Dakkota,Lisbon,"Washington,_D.C."
Uniteed States,Ohio,Lisbon,"Washington,_D.C."
United States,Arkansas,London,"Washington,_D.C."
United States,California,London,"Washington,_D.C."
United Kingdomm,Englandd,London,London
UUnited States,Kentuucky,London,"Washington,_D.C."
United States,Ohioo,London,"Washington,_D.C."
Canada,Ontario,London,Ottawa
Sppain,AAragon,Luna,Madrid
Philippiness,Bicoll,Luna,Manila
Philippines,Cagayan Valley,Luna,Manila
Phiilippines,Caragaa,Luna,Manila
Romania,Clujj,Luna,Bucharest
Philippines,Ilocoss,Luna,Manila
Philippinees,Western Visayas,Luna,Manila
United States,Connecticut,Manchester,"Washington,_D.C."
United Kingdom,Englaand,Manchester,London
United States,Georrgia,Manchester,"Washington,_D.C."
United Statess,Iowaa,Manchester,"Washington,_D.C."
United States,Kentucky,Manchester,"Washington,_D.C."
United States,Mainee,Manchester,"Washington,_D.C."
United States,Maryland,Manchester,"Washington,_D.C."
United States,Michigann,Manchester,"Washington,_D.C."
United Statess,Missourii,Manchester,"Washington,_D.C."
United States,New Hampshiree,Manchester,"Washington,_D.C."
United States,New Yoork,Manchester,"Washington,_D.C."
United  States,Ohioo,Manchester,"Washington,_D.C."
Uniited States,Pennsylvannia,Manchester,"Washington,_D.C."
Unitedd States,Tennesseee,Manchester,"Washington,_D.C."
United States,Washingtonn,Manchester,"Washington,_D.C."
United Sttates,Wisconsiin,Manchester,"Washington,_D.C."
Saudi  Arabia,Al Madinah al Munawwarah,Medina,Riyadh
Colombiaa,Cundinamarcaa,Medina,Bogot谩
Mexico,Guanajuuato,Medina,Mexico_City
Braziil,Minas Geraiis,Medina,Bras铆lia
United Statess,Minnesota,Medina,"Washington,_D.C."
United Statess,New York,Medina,"Washington,_D.C."
Philippiness,Northern Mindanaoo,Medina,Manila
Unitedd States,Ohio,Medina,"Washington,_D.C."
United Statess,Tennesseee,Medina,"Washington,_D.C."
United Statess,Texass,Medina,"Washington,_D.C."
Uniited States,Washinggton,Medina,"Washington,_D.C."
Australiaa,Western Australia,Medina,Canberra
United States,IIllinois,Milan,"Washington,_D.C."
United States,Indianaa,Milan,"Washington,_D.C."
Italyy,Lommbardy,Milan,Rome
United States,Michiggan,Milan,"Washington,_D.C."
United States,Missouri,Milan,"Washington,_D.C."
United States,New Hampshiree,Milan,"Washington,_D.C."
United Statess,New Mexico,Milan,"Washington,_D.C."
United States,Ohio,Milan,"Washington,_D.C."
United Statess,Tennessee,Milan,"Washington,_D.C."
Colombiaa,Caqueta,Mil谩n,Bogot谩
United Statess,Arkansass,Monticello,"Washington,_D.C."
France,Corsica,Monticello,Paris
United States,Floridaa,Monticello,"Washington,_D.C."
United Stattes,Georrgia,Monticello,"Washington,_D.C."
United Statess,Illinoiss,Monticello,"Washington,_D.C."
United States,Indiana,Monticello,"Washington,_D.C."
United Statess,Iowa,Monticello,"Washington,_D.C."
United States,Kentucky,Monticello,"Washington,_D.C."
Italy,Lombardy,Monticello,Rome
United Statess,Louuisiana,Monticello,"Washington,_D.C."
United Stattes,Minnesotaa,Monticello,"Washington,_D.C."
United States,Mississippi,Monticello,"Washington,_D.C."
United States,Missourii,Monticello,"Washington,_D.C."
Unitedd States,New Yorkk,Monticello,"Washington,_D.C."
United States,Utah,Monticello,"Washington,_D.C."
United States,Wisconnsin,Monticello,"Washington,_D.C."
Italy,Campaniaa,Naples,Rome
United States,Florrida,Naples,"Washington,_D.C."
United Statess,New Yoork,Naples,"Washington,_D.C."
United Statess,Texass,Naples,"Washington,_D.C."
United States,Utah,Naples,"Washington,_D.C."
United Statees,Callifornia,Oakland,"Washington,_D.C."
United SStates,Florida,Oakland,"Washington,_D.C."
United States,Iowaa,Oakland,"Washington,_D.C."
United  States,Mainee,Oakland,"Washington,_D.C."
United Statess,Maryland,Oakland,"Washington,_D.C."
United Statess,Missourii,Oakland,"Washington,_D.C."
United Staates,Nebraskaa,Oakland,"Washington,_D.C."
United States,New Jerseyy,Oakland,"Washington,_D.C."
United States,Oklahomaa,Oakland,"Washington,_D.C."
United Statess,Pennsylvaniaa,Oakland,"Washington,_D.C."
Unitedd States,South Carolina,Oakland,"Washington,_D.C."
United States,Tennesseee,Oakland,"Washington,_D.C."
United  States,Alabamaa,Oxford,"Washington,_D.C."
New Zealand,Canterbury,Oxford,Wellington
United Statess,Connectticut,Oxford,"Washington,_D.C."
United  Kingdom,Englannd,Oxford,London
United States,Georgia,Oxford,"Washington,_D.C."
United Statess,Indianaa,Oxford,"Washington,_D.C."
United Statess,Kansas,Oxford,"Washington,_D.C."
Unitted States,Maine,Oxford,"Washington,_D.C."
United States,Massachuusetts,Oxford,"Washington,_D.C."
United States,Michigann,Oxford,"Washington,_D.C."
United Statess,MMississippi,Oxford,"Washington,_D.C."
United States,New Jerseyy,Oxford,"Washington,_D.C."
United Staates,New York,Oxford,"Washington,_D.C."
United States,North  Carolina,Oxford,"Washington,_D.C."
Canadaa,Nova Scotiaa,Oxford,Ottawa
United Statess,Ohioo,Oxford,"Washington,_D.C."
United States,Pennsylvania,Oxford,"Washington,_D.C."
Philippines,Bicol,Pamplona,Manila
Philippines,Cagayan Valleyy,Pamplona,Manila
Philippiines,Central Visayas,Pamplona,Manila
Spain,Navarree,Pamplona,Madrid
Colombiaa,Norte de Santander,Pamplona,Bogot谩
United States,Arkansas,Paris,"Washington,_D.C."
United States,Idahoo,Paris,"Washington,_D.C."
Frrance,IIle-de-France,Paris,Paris
United States,Illinoois,Paris,"Washington,_D.C."
United Statess,Kentuckyy,Paris,"Washington,_D.C."
United Statess,Maine,Paris,"Washington,_D.C."
United Staates,Missouuri,Paris,"Washington,_D.C."
Canadaa,Ontario,Paris,Ottawa
United Statess,Tennesseee,Paris,"Washington,_D.C."
United Statess,Texas,Paris,"Washington,_D.C."
Panaama,Herrrera,Par铆s,Panama_City
Unnited States,Neew Jersey,Rio Grande,"Washington,_D.C."
Brazil,Rio Grande do Sull,Rio Grande,Bras铆lia
Panamaa,Cocle,R铆o Grande,Panama_City
Peru,Icaa,R铆o Grande,Lima
Mexico,Michoacan,R铆o Grande,Mexico_City
Dominican Republicc,Puertto Plata,R铆o Grande,Santo_Domingo
Puerto Rico,Rio Grande,R铆o Grande,"San_Juan,_Puerto_Rico"
Argentinaa,Tierra del Fuuego,R铆o Grande,Buenos_Aires
Panamaa,Veraguas,R铆o Grande,Panama_City
Mexico,Zacatecas,R铆o Grande,Mexico_City
Philippines,Caviite,Rosario,Manila
Philippines,Batangass,Rosario,Manila
Italyy,Calabriia,Rosario,Rome
PPhilippines,Caragaa,Rosario,Manila
Uruguay,Coloniaa,Rosario,Montevideo
Philippiness,Eastern Visayas,Rosario,Manila
Philippinnes,Ilocos,Rosario,Manila
Argentina,Santa Fee,Rosario,Buenos_Aires
Mexicoo,Sonoraa,Rosario,Mexico_City
Philippiness,Western Visayass,Rosario,Manila
Colombiaa,Antioqquia,San Francisco,Bogot谩
Honduras,Atlantidaa,San Francisco,Tegucigalpa
Peru,Ayacuchho,San Francisco,Lima
Mexico,Baja California Sur,San Francisco,Mexico_City
Philiippines,Bicol,San Francisco,Manila
Philippines,Calabarzon,San Francisco,Manila
United Statess,California,San Francisco,"Washington,_D.C."
Philippines,Caragaa,San Francisco,Manila
Philippiness,Central Luzonn,San Francisco,Manila
Philippines,Central Visayass,San Francisco,Manila
Argentina,Cordoba,San Francisco,Buenos_Aires
Colombia,Cundinamarcaa,San Francisco,Bogot谩
Philippines,Eastern Visayass,San Francisco,Manila
Mexicoo,Guerreroo,San Francisco,Mexico_City
Costa Ricaa,Heredia,San Francisco,"San_Jos茅,_Costa_Rica"
El  Salvador,Chalatenangoo,San Francisco,San_Salvador
Guatemala,Petenn,San Francisco,Guatemala_City
Colombia,Putumayo,San Francisco,Bogot谩
Mexico,Veracruz,San Francisco,Mexico_City
Panama,Veraguas,San Francisco,Panama_City
Philippinees,Western Visayass,San Francisco,Manila
Venezuelaa,Zulia,San Francisco,Caracas
Philippinnes,Camarines Sur,San Jose,Manila
Philippiness,Catanduaness,San Jose,Manila
Philippiness,Calabarzonn,San Jose,Manila
United  States,Californiaa,San Jose,"Washington,_D.C."
Philippiness,Caraga,San Jose,Manila
Philippines,Central Luzonn,San Jose,Manila
PPhilippines,Central Visayass,San Jose,Manila
Philippiness,Eastern  Visayas,San Jose,Manila
Philippines,Mimaropaa,San Jose,Manila
Philippines,Northern Mindanaoo,San Jose,Manila
Philippinees,Western Visayas,San Jose,Manila
Costa Ricaa,Alajuelaa,San Jos茅,"San_Jos茅,_Costa_Rica"
Sppain,Andallusia,San Jos茅,Madrid
Paraguayy,Caaguazu,San Jos茅,Asunci贸n
Colombia,Caldass,San Jos茅,Bogot谩
Argeentina,Catamarca,San Jos茅,Buenos_Aires
Mexico,Hidallgo,San Jos茅,Mexico_City
Hondurass,La Paz,San Jos茅,Tegucigalpa
Peruu,Lambayequue,San Jos茅,Lima
Panama,Los Santoss,San Jos茅,Panama_City
Argentina,Misioness,San Jos茅,Buenos_Aires
Coloombia,Nariino,San Jos茅,Bogot谩
Panamaa,Panama Oeste,San Jos茅,Panama_City
Guatemalaa,Petenn,San Jos茅,Guatemala_City
Mexico,Puebla,San Jos茅,Mexico_City
Costa Ricaa,San Josee,San Jos茅,"San_Jos茅,_Costa_Rica"
Panamaa,Veraguass,San Jos茅,Panama_City
Honduras,Yoro,San Jos茅,Tegucigalpa
Philippines,Calabarzon,Santa Lucia,Manila
Italyy,Campania,Santa Lucia,Rome
Philippiness,Ceentral Luzon,Santa Lucia,Manila
Panama,Chiriqui,Santa Lucia,Panama_City
Philippines,Ilocoss,Santa Lucia,Manila
Italy,Latiumm,Santa Lucia,Rome
Italy,Tuscanny,Santa Lucia,Rome
Colombiaa,Atlanticoo,Santa Luc铆a,Bogot谩
Venezuelaa,Barinas,Santa Luc铆a,Caracas
Nicaraguaa,Boaco,Santa Luc铆a,Managua
Sppain,Canary Islandds,Santa Luc铆a,Madrid
Uruguayy,Canelones,Santa Luc铆a,Montevideo
Argentina,Corrientess,Santa Luc铆a,Buenos_Aires
Hondurass,Francisco Morazan,Santa Luc铆a,Tegucigalpa
Ecuador,Guayass,Santa Luc铆a,Quito
Cuba,Holguin,Santa Luc铆a,Havana
Hondurass,Ocotepeque,Santa Luc铆a,Tegucigalpa
Peru,Punno,Santa Luc铆a,Lima
Argentinaa,San Juann,Santa Luc铆a,Buenos_Aires
Colombia,Antioquiaa,Santo Domingo,Bogot谩
Philippinees,Bicoll,Santo Domingo,Manila
Philippines,Cagayan Valley,Santo Domingo,Manila
Philippiness,Central Luzon,Santo Domingo,Manila
Mexico,Chiapas,Santo Domingo,Mexico_City
Panamaa,Chiriquii,Santo Domingo,Panama_City
Nicaragua,Chontaales,Santo Domingo,Managua
Costa Rica,Herediaa,Santo Domingo,"San_Jos茅,_Costa_Rica"
Philippines,Ilocoss,Santo Domingo,Manila
Panama,Los Santos,Santo Domingo,Panama_City
VVenezuela,Meridaa,Santo Domingo,Caracas
Domiinican Republic,Nacionnal,Santo Domingo,Santo_Domingo
Perru,Piura,Santo Domingo,
Mexiico,San Luis Potosi,Santo Domingo,Mexico_City
Cuba,Villa Clara,Santo Domingo,Havana
United Statess,Georgiaa,Sparta,"Washington,_D.C."
United Statess,Illinoiss,Sparta,"Washington,_D.C."
Uniited States,Michigan,Sparta,"Washington,_D.C."
United  States,Missourii,Sparta,"Washington,_D.C."
United Statess,North Carolina,Sparta,"Washington,_D.C."
United Statess,Tennesseee,Sparta,"Washington,_D.C."
United Statess,WWisconsin,Sparta,"Washington,_D.C."
United Statess,Colorado,Springfield,"Washington,_D.C."
United States,Floridaa,Springfield,"Washington,_D.C."
United Statess,Georgia,Springfield,"Washington,_D.C."
United Statess,Illinoois,Springfield,"Washington,_D.C."
United Statess,Kentucky,Springfield,"Washington,_D.C."
United States,Massachussetts,Springfield,"Washington,_D.C."
United States,Michigan,Springfield,"Washington,_D.C."
United Statess,Minnesota,Springfield,"Washington,_D.C."
United States,Missouri,Springfield,"Washington,_D.C."
United Statess,Nebraskaa,Springfield,"Washington,_D.C."
United States,New Hampshire,Springfield,"Washington,_D.C."
United Statess,New Jerseyy,Springfield,"Washington,_D.C."
United Statess,New York,Springfield,"Washington,_D.C."
United Statess,Ohioo,Springfield,"Washington,_D.C."
Unitted States,Oregonn,Springfield,"Washington,_D.C."
United Statess,Pennsylvania,Springfield,"Washington,_D.C."
Australia,Queensland,Springfield,Canberra
Unitted States,South Daakota,Springfield,"Washington,_D.C."
United SStates,Tenneessee,Springfield,"Washington,_D.C."
Unitedd States,Vermontt,Springfield,"Washington,_D.C."
United States,Virrginia,Springfield,"Washington,_D.C."
Chille,Arauccania,Victoria,Santiago
Romaniaa,Botosanii,Victoria,Bucharest
Romania,Brailaa,Victoria,Bucharest
Romaniaa,Brasov,Victoria,Bucharest
Canadaa,British Columbia,Victoria,Ottawa
El Salvador,Cabbanas,Victoria,San_Salvador
Philippines,Calabarzonn,Victoria,Manila
Colombiaa,Caldass,Victoria,Bogot谩
Phiilippines,Central LLuzon,Victoria,Manila
Philippines,Eastern Vissayas,Victoria,Manila
Seycheelles,English Riverr,Victoria,"Victoria,_Seychelles"
Argentina,Entre Rioss,Victoria,Buenos_Aires
Mexiico,Guanajuato,Victoria,Mexico_City
Romania,Iasi,Victoria,Bucharest
United Statees,Kansas,Victoria,"Washington,_D.C."
Malaysiaa,Labuann,Victoria,Kuala_Lumpur
Philippiness,Mimaropa,Victoria,Manila
United Statess,Minnesotaa,Victoria,"Washington,_D.C."
Grenadaa,Saint Mark,Victoria,"St._George's,_Grenada"
United Statess,Texaas,Victoria,"Washington,_D.C."
Maltta,Gozo,Victoria,Valletta
United States,Virginia,Victoria,"Washington,_D.C."
United Kingdomm,Waless,Victoria,London
Hondduras,Yoroo,Victoria,Tegucigalpa
